Epoch 9/10 | Batch 500/938 | Loss: 0.6607188582420349
Epoch 9/10 | Batch 600/938 | Loss: 0.279053270816803
Epoch 9/10 | Batch 700/938 | Loss: 0.15844278037548065
Epoch 9/10 | Batch 800/938 | Loss: 0.41351318359375
Epoch 9/10 | Batch 900/938 | Loss: 0.11031336337327957
Epoch 10/10 | Batch 0/938 | Loss: 0.34921994805336
Epoch 10/10 | Batch 100/938 | Loss: 0.1055825725197792
Epoch 10/10 | Batch 200/938 | Loss: 0.2934492230415344
Epoch 10/10 | Batch 300/938 | Loss: 0.4711798429489136
Epoch 10/10 | Batch 400/938 | Loss: 0.2796664535999298
Epoch 10/10 | Batch 500/938 | Loss: 0.4109742343425751
Epoch 10/10 | Batch 600/938 | Loss: 0.21244585514068604
Epoch 10/10 | Batch 700/938 | Loss: 0.23489578068256378
Epoch 10/10 | Batch 800/938 | Loss: 0.3025544285774231
Epoch 10/10 | Batch 900/938 | Loss: 0.2925453186035156
